,symbol,name,reportDate,fiscalDateEnding,estimate,currency
2562,NULGF,NULGF,2023-11-23,2023-09-30,,CAD
2121,LITB,LightInTheBox Holding Co Ltd,2023-11-23,2023-09-30,,USD
2373,MPNGY,MPNGY,2023-11-23,2023-09-30,0.1992,CNY
2153,LOVFF,LOVFF,2023-11-23,2023-08-31,,USD
2151,LOVFD,LOVFD,2023-11-23,2023-08-31,,CAD
2598,NZERD,NZERD,2023-11-23,2023-09-30,,CAD
337,AVHNY,AVHNY,2023-11-23,2023-09-30,0,EUR
2372,MPNGF,MPNGF,2023-11-23,2023-09-30,0.0996,CNY
2599,NZERF,NZERF,2023-11-23,2023-09-30,,CAD
151,ALXXF,ALXXF,2023-11-23,2023-09-30,,CAD
2484,NGXXF,NGXXF,2023-11-23,2023-09-30,,CAD
1481,FUTU,Futu Holdings Ltd,2023-11-23,2023-09-30,1,HKD
3818,WETG,WeTrade Group Inc,2023-11-23,2023-09-30,,USD
2065,KUYAF,KUYAF,2023-11-23,2023-10-31,,USD
3634,UCLE,UCLE,2023-11-23,2023-09-30,,USD
1190,EEMMF,EEMMF,2023-11-23,2023-09-30,,CAD
1101,DOCRF,DOCRF,2023-11-23,2023-09-30,,CAD
522,BMTLF,BMTLF,2023-11-23,2023-09-30,,CAD
1112,DPXCF,DPXCF,2023-11-23,2023-09-30,,CAD
3606,TVCCF,TVCCF,2023-11-23,2023-09-30,,USD
279,ASOZY,ASOZY,2023-11-23,2023-09-30,0,PLN
1972,JNCCF,JNCCF,2023-11-23,2023-09-30,,CAD
79,AFFCF,AFFCF,2023-11-23,2023-09-30,0,CAD
2043,KOMOF,KOMOF,2023-11-24,2023-09-30,,CAD
2532,NPSNY,NPSNY,2023-11-24,2023-09-30,0,USD
3464,TGHI,TGHI,2023-11-24,2023-09-30,0,USD
3428,TBLMY,TBLMY,2023-11-24,2023-09-30,0,ZAR
2026,KLDCF,KLDCF,2023-11-24,2023-09-30,,CAD
1362,FEXXF,FEXXF,2023-11-24,2023-09-30,,CAD
1559,GHVND,GHVND,2023-11-24,2023-10-31,,CAD
1634,GSHRF,GSHRF,2023-11-24,2023-09-30,,CAD
2847,PPCGF,PPCGF,2023-11-24,2023-09-30,0,USD
2233,MBOT,Microbot Medical Inc,2023-11-24,2023-09-30,-0.25,USD
417,BCCEF,BCCEF,2023-11-24,2023-09-30,,CAD
1558,GHVND,GHVND,2023-11-24,2023-09-30,,CAD
1560,GHVNF,GHVNF,2023-11-24,2023-10-31,,CAD
2001,KDAGF,KDAGF,2023-11-25,2023-10-31,,CAD
3579,TSGZF,TSGZF,2023-11-25,2023-09-30,,USD
2923,QGLDF,QGLDF,2023-11-25,2023-09-30,,CAD
1688,HELOF,HELOF,2023-11-25,2023-09-30,,CAD
2957,RCKTF,RCKTF,2023-11-25,2023-09-30,,CAD
2536,NRSN,NeuroSense Therapeutics Ltd,2023-11-25,2023-09-30,-0.24,USD
1275,ESHSF,ESHSF,2023-11-25,2023-09-30,,CAD
109,AIH,Aesthetic Medical International Holdings Group Ltd,2023-11-26,2023-09-30,,CNY
2601,OAOFY,OAOFY,2023-11-27,2023-09-30,0,RUB
2628,OGNRF,OGNRF,2023-11-27,2023-09-30,,CAD
2625,OGI,OrganiGram Holdings Inc,2023-11-27,2023-08-31,-0.1,CAD
346,AVXL,Anavex Life Sciences Corporation,2023-11-27,2023-09-30,-0.15,USD
3934,YY,JOYY Inc,2023-11-27,2023-09-30,0.69,USD
3673,USGDF,USGDF,2023-11-27,2023-09-30,,CAD
2574,NVRVF,NVRVF,2023-11-27,2023-09-30,,CAD
1927,ITRN,Ituran Location And Control Ltd,2023-11-27,2023-09-30,0.58,USD
1352,FDOGF,FDOGF,2023-11-27,2023-09-30,,CAD
657,CANG,Cango Inc,2023-11-27,2023-09-30,0.61,CNY
1955,JECFF,JECFF,2023-11-27,2023-09-30,,USD
1161,EACTF,EACTF,2023-11-27,2023-09-30,,CAD
3520,TNSTF,TNSTF,2023-11-27,2023-09-30,,CAD
1098,DNRSD,DNRSD,2023-11-27,2023-09-30,,USD
1099,DNRSF,DNRSF,2023-11-27,2023-09-30,,USD
3521,TNYBF,TNYBF,2023-11-27,2023-09-30,,CAD
474,BILI,Bilibili Inc,2023-11-27,2023-09-30,-0.25,CNY
2862,PROBF,PROBF,2023-11-27,2023-09-30,,CAD
2837,POSAF,POSAF,2023-11-27,2023-09-30,,USD
2871,PRSNF,PRSNF,2023-11-27,2023-08-31,,CAD
1880,INTWF,INTWF,2023-11-27,2023-09-30,,CAD
3476,THKKF,THKKF,2023-11-27,2023-09-30,,CAD
685,CBTTF,CBTTF,2023-11-27,2023-09-30,,CAD
687,CBUTF,CBUTF,2023-11-27,2023-09-30,,CAD
1952,JCTCF,Jewett-Cameron Trading Co. Ltd,2023-11-27,2023-08-31,,USD
3325,SRLZF,SRLZF,2023-11-27,2023-09-30,,CAD
369,AZMCF,AZMCF,2023-11-27,2023-09-30,,CAD
3937,ZAIRF,ZAIRF,2023-11-27,2023-09-30,,CAD
1245,ENRT,ENRT,2023-11-27,2023-08-31,,USD
407,BBKCF,BBKCF,2023-11-27,2023-09-30,-0.0037,CAD
1271,ERILF,ERILF,2023-11-27,2023-09-30,,USD
408,BBRRF,BBRRF,2023-11-27,2023-09-30,,CAD
1240,ENLT,Enlight Renewable Energy Ltd,2023-11-27,2023-09-30,0.094,ILS
2936,QUTIF,QUTIF,2023-11-27,2023-09-30,,CAD
411,BBW,Build A Bear Workshop Inc,2023-11-27,2023-10-31,0.51,USD
2790,PIM,Putnam Master Intermediate Income Trust,2023-11-27,2023-09-30,,USD
2798,PKANF,PKANF,2023-11-27,2023-09-30,,USD
1227,EMGDF,EMGDF,2023-11-27,2023-09-30,,CAD
2802,PKKFF,PKKFF,2023-11-27,2023-09-30,,CAD
1215,ELEMF,ELEMF,2023-11-27,2023-09-30,,USD
1289,ETRGF,ETRGF,2023-11-27,2023-09-30,,CAD
419,BCEKF,BCEKF,2023-11-27,2023-09-30,0.015,USD
1065,DGNOF,DGNOF,2023-11-27,2023-09-30,,CAD
2916,QCAAF,QCAAF,2023-11-27,2023-09-30,,CAD
2813,PLGNF,PLGNF,2023-11-27,2023-09-30,,CAD
2960,RDCPF,RDCPF,2023-11-27,2023-09-30,,CAD
2825,PNDHF,PNDHF,2023-11-27,2023-09-30,,CAD
2961,RDHL,Redhill Biopharma Ltd,2023-11-27,2023-09-30,,USD
3640,UGDIF,UGDIF,2023-11-27,2023-09-30,,CAD
379,AZZTF,AZZTF,2023-11-27,2023-09-30,,CAD
3951,ZS,Zscaler Inc,2023-11-27,2023-10-31,0.49,USD
1304,EVM,Eaton Vance California Municipal Bond Fund,2023-11-27,2023-09-30,,USD
2898,PTUUF,PTUUF,2023-11-27,2023-09-30,,CAD
3503,TLTFF,TLTFF,2023-11-27,2023-09-30,,CAD
674,CBGZF,CBGZF,2023-11-27,2023-09-30,,CAD
2742,PDD,PDD Holdings Inc,2023-11-27,2023-09-30,1.19,CNY
1172,ECAOF,ECAOF,2023-11-27,2023-09-30,,USD
2836,POPRF,POPRF,2023-11-27,2023-09-30,,USD
2134,LMSBF,LMSBF,2023-11-27,2023-09-30,,USD
309,ATLYF,ATLYF,2023-11-27,2023-09-30,,CAD
334,AVCRF,AVCRF,2023-11-27,2023-09-30,,CAD
866,COGDF,COGDF,2023-11-27,2023-09-30,,CAD
2316,MKNGF,MKNGF,2023-11-27,2023-09-30,,USD
2317,MKSEF,MKSEF,2023-11-27,2023-09-30,,CAD
3111,SBSAA,SBSAA,2023-11-27,2023-09-30,,USD
3772,VSQTF,VSQTF,2023-11-27,2023-09-30,,CAD
3104,SBBCF,SBBCF,2023-11-27,2023-09-30,,USD
2333,MMIRF,MMIRF,2023-11-27,2023-10-31,,USD
3768,VSBGF,VSBGF,2023-11-27,2023-09-30,,USD
3204,SITKF,SITKF,2023-11-27,2023-09-30,,CAD
3089,SAHRF,SAHRF,2023-11-27,2023-09-30,,CAD
3782,VVIVF,VVIVF,2023-11-27,2023-09-30,,CAD
3767,VSBGD,VSBGD,2023-11-27,2023-09-30,0,USD
3350,STEEF,STEEF,2023-11-27,2023-09-30,,CAD
2341,MMTMF,MMTMF,2023-11-27,2023-09-30,,USD
231,AQSZF,AQSZF,2023-11-27,2023-09-30,,CAD
1563,GIGGF,GIGGF,2023-11-27,2023-09-30,,CAD
3211,SJR,SJR,2023-11-27,2023-08-31,,CAD
236,ARBTF,ARBTF,2023-11-27,2023-09-30,,USD
1549,GGGOF,GGGOF,2023-11-27,2023-09-30,,USD
3419,TAOIF,TAOIF,2023-11-27,2023-09-30,,CAD
3921,YJ,Yunji Inc,2023-11-27,2023-09-30,,CNY
2873,PRTG,Portage Biotech Inc,2023-11-27,2023-09-30,-0.28,USD
1576,GLDRF,GLDRF,2023-11-27,2023-09-30,,CAD
2364,MONTF,MONTF,2023-11-27,2023-09-30,,CAD
2310,MJGCF,MJGCF,2023-11-27,2023-09-30,,USD
3787,VXTRF,VXTRF,2023-11-27,2023-09-30,,CAD
2123,LITOF,LITOF,2023-11-27,2023-09-30,,CAD
1734,HNCKF,HNCKF,2023-11-27,2023-09-30,,CAD
3377,SUPGF,SUPGF,2023-11-27,2023-09-30,,USD
3378,SUPV,Grupo Supervielle S.A.,2023-11-27,2023-09-30,0.1742,ARS
99,AGXPF,AGXPF,2023-11-27,2023-08-31,0.01,USD
2183,LUCMF,LUCMF,2023-11-27,2023-09-30,,CAD
2106,LEXX,Lexaria Bioscience Corp,2023-11-27,2023-08-31,-0.13,USD
2224,MAUTF,MAUTF,2023-11-27,2023-09-30,,CAD
2226,MBAIF,MBAIF,2023-11-27,2023-08-31,,CAD
2261,MDSQF,MDSQF,2023-11-27,2023-09-30,,CAD
1617,GPPRF,GPPRF,2023-11-27,2023-09-30,,USD
2264,MDXHF,MDXHF,2023-11-27,2023-09-30,,CAD
2086,LCGMF,LCGMF,2023-11-27,2023-09-30,0,USD
1659,GYSLF,GYSLF,2023-11-27,2023-09-30,,CAD
87,AGCCF,AGCCF,2023-11-27,2023-09-30,,CAD
1657,GXXFF,GXXFF,2023-11-27,2023-09-30,,CAD
848,CNPOF,CNPOF,2023-11-27,2023-09-30,,USD
181,AMYZF,AMYZF,2023-11-27,2023-10-31,,CAD
1639,GSVRF,GSVRF,2023-11-27,2023-09-30,,USD
857,CNVCF,CNVCF,2023-11-27,2023-10-31,,CAD
2077,LASLY,LASLY,2023-11-27,2023-09-30,0,CNY
1811,IDYLF,IDYLF,2023-11-27,2023-09-30,,CAD
3136,SDRL,Seadrill Ltd,2023-11-27,2023-09-30,0.8642,USD
910,CRNC,Cerence Inc,2023-11-27,2023-09-30,0.15,USD
1575,GLBS,Globus Maritime Ltd,2023-11-27,2023-09-30,0.14,USD
258,ARWR,Arrowhead Pharmaceuticals Inc,2023-11-27,2023-09-30,-0.6,USD
947,CTARF,CTARF,2023-11-27,2023-09-30,,USD
3716,VIBEF,VIBEF,2023-11-27,2023-09-30,,USD
3231,SLGWF,SLGWF,2023-11-27,2023-09-30,,CAD
3071,RWBYF,RWBYF,2023-11-27,2023-09-30,,CAD
2480,NGPHF,NGPHF,2023-11-27,2023-09-30,,USD
957,CTNXF,CTNXF,2023-11-27,2023-09-30,,USD
308,ATLYD,ATLYD,2023-11-27,2023-09-30,,CAD
960,CTRN,Citi Trends Inc,2023-11-27,2023-08-31,,USD
961,CTRN,Citi Trends Inc,2023-11-27,2023-10-31,-0.13,USD
946,CTARD,CTARD,2023-11-27,2023-09-30,,USD
3459,TFCCF,TFCCF,2023-11-27,2023-09-30,,USD
3701,VDOMF,VDOMF,2023-11-27,2023-09-30,,CAD
3022,RMIAF,RMIAF,2023-11-27,2023-09-30,,CAD
751,CHELF,CHELF,2023-11-27,2023-09-30,,CAD
1406,FLWPF,FLWPF,2023-11-27,2023-09-30,,CAD
2543,NSCIF,NSCIF,2023-11-27,2023-09-30,,CAD
743,CGFEF,CGFEF,2023-11-27,2023-09-30,,CNY
2563,NUMIF,NUMIF,2023-11-27,2023-08-31,,CAD
1867,INIKF,INIKF,2023-11-27,2023-09-30,,USD
2994,RGDFF,RGDFF,2023-11-27,2023-09-30,,CAD
3882,WWTIF,WWTIF,2023-11-27,2023-09-30,,USD
558,BRAXF,BRAXF,2023-11-27,2023-09-30,,CAD
3449,TEDU,Tarena International Inc,2023-11-27,2023-09-30,2.54,CNY
1958,JGLDF,JGLDF,2023-11-27,2023-09-30,,CAD
566,BRKCF,BRKCF,2023-11-27,2023-09-30,,CAD
1507,GBLTF,GBLTF,2023-11-27,2023-09-30,,EUR
2050,KRKNF,KRKNF,2023-11-27,2023-09-30,,CAD
1487,FYMNF,FYMNF,2023-11-27,2023-09-30,,CAD
939,CSTPF,CSTPF,2023-11-27,2023-09-30,,USD
3722,VIPRF,VIPRF,2023-11-27,2023-09-30,,CAD
3923,YOOIF,YOOIF,2023-11-27,2023-09-30,,USD
1528,GECSF,GECSF,2023-11-27,2023-08-31,,CAD
3058,RSRBF,RSRBF,2023-11-27,2023-09-30,,CAD
1391,FIVE,Five Below Inc,2023-11-28,2023-10-31,0.23,USD
1749,HPE,Hewlett Packard Enterprise Company,2023-11-28,2023-10-31,0.5,USD
3933,YWRLF,YWRLF,2023-11-28,2023-09-30,,CAD
3726,VIVK,Vivakor Inc,2023-11-28,2023-09-30,-0.01,USD
2518,NNOX,Nano X Imaging Ltd,2023-11-28,2023-09-30,-0.3,USD
3945,ZH,Zhihu Inc,2023-11-28,2023-09-30,-0.06,CNY
3806,WDAY,Workday Inc - Class A,2023-11-28,2023-10-31,1.41,USD
1153,DXIEF,DXIEF,2023-11-28,2023-09-30,,CAD
3810,WDH,Waterdrop Inc,2023-11-28,2023-09-30,0.02,CNY
267,ASDZF,ASDZF,2023-11-28,2023-09-30,,CAD
1546,GGAL,Grupo Financiero Galicia,2023-11-28,2023-09-30,0.4262,ARS
2211,MAKOF,MAKOF,2023-11-28,2023-09-30,,USD
2103,LESL,Leslies Inc,2023-11-28,2023-09-30,0.18,USD
2548,NTAP,Netapp Inc,2023-11-28,2023-10-31,1.39,USD
1879,INTU,Intuit Inc,2023-11-28,2023-10-31,1.98,USD
2116,LICT,LICT,2023-11-28,2023-09-30,,USD
1970,JMPHF,JMPHF,2023-11-28,2023-09-30,,CAD
1145,DVHGF,DVHGF,2023-11-28,2023-10-31,,USD
2210,MAKOD,MAKOD,2023-11-28,2023-09-30,,USD
1590,GNCGY,GNCGY,2023-11-28,2023-09-30,0,GBP
3907,XYZFF,XYZFF,2023-11-28,2023-09-30,,CAD
1595,GNSS,Genasys Inc,2023-11-28,2023-09-30,-0.08,USD
1916,ISRJF,ISRJF,2023-11-28,2023-09-30,,CAD
17,ABBRF,ABBRF,2023-11-28,2023-09-30,0,CAD
2428,MYTE,MYT Netherlands Parent BV,2023-11-28,2023-09-30,-0.05,EUR
1294,EU,enCore Energy Corp,2023-11-28,2023-09-30,0,CAD
2435,NAT,Nordic American Tankers Ltd,2023-11-28,2023-09-30,0.05,USD
286,ASYS,Amtech Systems Inc,2023-11-28,2023-09-30,0.05,USD
3569,TRX,TRX Gold Corp,2023-11-28,2023-08-31,0.01,CAD
1612,GPHOF,GPHOF,2023-11-28,2023-09-30,-0.01,USD
367,AZEK,AZEK Company Inc - Class A,2023-11-28,2023-09-30,0.29,USD
1564,GIII,G-III Apparel Group Ltd,2023-11-28,2023-10-31,2.05,USD
3941,ZENAF,ZENAF,2023-11-28,2023-09-30,,CAD
3950,ZNCXF,ZNCXF,2023-11-28,2023-09-30,,CAD
2007,KEN,Kenon Holdings Ltd,2023-11-28,2023-09-30,,USD
1492,GALKF,GALKF,2023-11-28,2023-09-30,,CAD
1217,ELLKY,ELLKY,2023-11-28,2023-09-30,0,EUR
183,ANCTF,ANCTF,2023-11-28,2023-10-31,0.7291,USD
3549,TRLEF,TRLEF,2023-11-28,2023-09-30,0.01,USD
3917,YEXT,Yext Inc,2023-11-28,2023-10-31,0.07,USD
2290,MGWFF,MGWFF,2023-11-28,2023-09-30,,CAD
1285,ESTC,Elastic N.V,2023-11-28,2023-10-31,0.24,USD
3548,TRLED,TRLED,2023-11-28,2023-09-30,0.01,USD
1175,ECLMF,ECLMF,2023-11-28,2023-09-30,,CAD
1276,ESLT,Elbit Systems Ltd,2023-11-28,2023-09-30,1.44,USD
3305,SPLK,Splunk Inc,2023-11-28,2023-10-31,1.14,USD
2655,OOMA,Ooma Inc,2023-11-28,2023-10-31,0.15,USD
2895,PTNYF,PTNYF,2023-11-28,2023-09-30,,CAD
3180,SHIP,Seanergy Maritime Holdings Corp,2023-11-28,2023-09-30,,USD
1077,DKLRF,DKLRF,2023-11-28,2023-09-30,,CAD
3380,SUTNY,SUTNY,2023-11-28,2023-09-30,0,JPY
3151,SEUSF,SEUSF,2023-11-28,2023-09-30,,CAD
606,BTVRF,BTVRF,2023-11-28,2023-10-31,,CAD
2894,PTNRY,PTNRY,2023-11-28,2023-09-30,0,ILS
501,BKTPF,BKTPF,2023-11-28,2023-10-31,,CAD
3414,SZSMF,SZSMF,2023-11-28,2023-09-30,,USD
923,CRWD,Crowdstrike Holdings Inc - Class A,2023-11-28,2023-10-31,0.74,USD
3442,TCYSF,TCYSF,2023-11-28,2023-10-31,,CAD
3466,TGIFF,TGIFF,2023-11-28,2023-10-31,,CAD
540,BNS,Bank Of Nova Scotia,2023-11-28,2023-10-31,1.24,CAD
3480,THXPF,THXPF,2023-11-28,2023-09-30,,USD
605,BTVRD,BTVRD,2023-11-28,2023-10-31,,CAD
2893,PTNR,PTNR,2023-11-28,2023-09-30,0,ILS
3487,TITN,Titan Machinery Inc,2023-11-28,2023-10-31,1.53,USD
3257,SMTC,Semtech Corp,2023-11-28,2023-10-31,-0.13,USD
722,CENTA,Central Garden & Pet Co. - Class A,2023-11-28,2023-09-30,0.0682,USD
895,CRDE,CRDE,2023-11-29,2023-09-30,,USD
897,CRDO,Credo Technology Group Holding Ltd,2023-11-29,2023-10-31,-0.01,USD
899,CRGP,CRGP,2023-11-29,2023-09-30,0,USD
3755,VPTDF,VPTDF,2023-11-29,2023-09-30,,CAD
1547,GGE,Green Giant Inc,2023-11-29,2023-09-30,0,USD
3421,TAUG,TAUG,2023-11-29,2023-09-30,0,USD
239,ARCE,Arco Platform Ltd - Class A,2023-11-29,2023-09-30,-0.17,BRL
473,BIG,Big Lots Inc,2023-11-29,2023-10-31,-4.68,USD
3068,RVLCF,RVLCF,2023-11-29,2023-09-30,,CAD
1525,GDTC,CytoMed Therapeutics Ltd,2023-11-29,2023-09-30,-0.06,SGD
3063,RTNB,RTNB,2023-11-29,2023-09-30,0,USD
1514,GCT,GigaCloud Technology Inc - Class A,2023-11-29,2023-09-30,0.355,USD
14,AATGF,AATGF,2023-11-29,2023-09-30,,CAD
1499,GB,Global Blue Group Holding AG,2023-11-29,2023-09-30,0.06,EUR
938,CSSV,CSSV,2023-11-29,2023-09-30,0,USD
2426,MYNA,Mynaric AG,2023-11-29,2023-09-30,-1.69,EUR
2431,NAMS,NewAmsterdam Pharma Company NV,2023-11-29,2023-09-30,-0.4867,EUR
3077,RYCEY,RYCEY,2023-11-29,2023-09-30,0,GBP
945,CTAGY,CTAGY,2023-11-29,2023-09-30,0,GBP
892,CPTK,Crown PropTech Acquisitions - Class A,2023-11-29,2023-09-30,-0.36,USD
3952,ZSTN,ZSTN,2023-11-29,2023-09-30,0,USD
2303,MIRA,Mira Pharmaceuticals Inc,2023-11-29,2023-09-30,0,USD
3126,SCRCQ,SCRCQ,2023-11-29,2023-09-30,0,USD
3125,SCPS,SCPS,2023-11-29,2023-09-30,0,USD
3123,SCIE,SCIE,2023-11-29,2023-09-30,0,USD
202,AOUT,American Outdoor Brands Inc,2023-11-29,2023-10-31,0.2,USD
2314,MKDTY,MKDTY,2023-11-29,2023-09-30,0,USD
1609,GPCR,Structure Therapeutics Inc,2023-11-29,2023-09-30,-0.22,USD
3400,SXTP,60 Degrees Pharmaceuticals Inc,2023-11-29,2023-09-30,2.16,USD
3082,RYZB,RayzeBio Inc,2023-11-29,2023-09-30,-0.69,USD
3775,VSTS,Vestis Corporation,2023-11-29,2023-09-30,0.34,USD
2326,MLP,Maui Land & Pineapple Co. Inc,2023-11-29,2023-09-30,,USD
214,APGE,Apogee Therapeutics Inc,2023-11-29,2023-09-30,-0.44,USD
1594,GNS,Genius Group Ltd,2023-11-29,2023-09-30,-0.1716,USD
1593,GNRS,GNRS,2023-11-29,2023-09-30,0,USD
1591,GNLX,Genelux Corp,2023-11-29,2023-09-30,-0.16,USD
3769,VSCO,Victoria`s Secret & Company,2023-11-29,2023-10-31,-0.79,USD
3098,SAPX,SAPX,2023-11-29,2023-09-30,0,USD
3402,SYAAF,SYAAF,2023-11-29,2023-09-30,0,USD
3773,VSST,VSST,2023-11-29,2023-09-30,0,USD
1473,FTXP,FTXP,2023-11-29,2023-09-30,0,USD
3935,YYYH,YYYH,2023-11-29,2023-09-30,0,USD
289,ATBHF,ATBHF,2023-11-29,2023-09-30,,CAD
1395,FL,Foot Locker Inc,2023-11-29,2023-10-31,0.24,USD
2555,NTNX,Nutanix Inc - Class A,2023-11-29,2023-10-31,0.17,USD
4,AAGIY,AAGIY,2023-11-29,2023-09-30,0,USD
1382,FIHL,Fidelis Insurance Holdings Ltd,2023-11-29,2023-09-30,0.68,USD
537,BNOX,Bionomics Ltd,2023-11-29,2023-09-30,-0.5947,AUD
2571,NVNXF,NVNXF,2023-11-29,2023-09-30,0,USD
2579,NVX,Novonix Ltd,2023-11-29,2023-09-30,0,AUD
2591,NXNN,NXNN,2023-11-29,2023-09-30,0,USD
2983,REX,REX American Resources Corp,2023-11-29,2023-10-31,0.68,USD
343,AVTI,AVTI,2023-11-29,2023-09-30,0,USD
2976,REMI,REMI,2023-11-29,2023-09-30,0,EUR
2624,OGGNF,OGGNF,2023-11-29,2023-09-30,,CAD
2633,OKTA,Okta Inc - Class A,2023-11-29,2023-10-31,0.3,USD
3,AACTF,AACTF,2023-11-29,2023-09-30,,CAD
1012,CYBN,Cybin Inc,2023-11-29,2023-09-30,-0.0413,CAD
356,AXREF,AXREF,2023-11-29,2023-09-30,,CAD
3304,SPLIF,SPLIF,2023-11-29,2023-10-31,,USD
328,AUUD,Auddia Inc,2023-11-29,2023-09-30,-0.19,USD
2547,NSUPF,NSUPF,2023-11-29,2023-09-30,,CAD
2539,NRXS,Neuraxis Inc,2023-11-29,2023-09-30,-0.17,USD
3011,RKIGF,RKIGF,2023-11-29,2023-10-31,,CAD
1469,FTREV,FTREV,2023-11-29,2023-09-30,0.15,USD
3955,ZUMRF,ZUMRF,2023-11-29,2023-08-31,,USD
291,ATCV,ATCV,2023-11-29,2023-09-30,0,USD
1465,FTCH,Farfetch Ltd - Class A,2023-11-29,2023-09-30,-0.4,USD
3443,TD,Toronto Dominion Bank,2023-11-29,2023-10-31,1.41,CAD
2461,NEGG,Newegg Commerce Inc,2023-11-29,2023-09-30,-0.06,USD
2463,NEOV,NeoVolta Inc,2023-11-29,2023-09-30,-0.01,USD
3032,ROAD,Construction Partners Inc - Class A,2023-11-29,2023-09-30,0.52,USD
1622,GPTX,GPTX,2023-11-29,2023-09-30,0,USD
3705,VEEV,Veeva Systems Inc - Class A,2023-11-29,2023-10-31,1.29,USD
1452,FRO,Frontline Plc,2023-11-29,2023-09-30,0.4547,USD
2487,NHIQ,NHIQ,2023-11-29,2023-09-30,,USD
3028,RNLX,Renalytix Plc,2023-11-29,2023-09-30,-0.11,USD
1438,FPMI,FPMI,2023-11-29,2023-09-30,0,USD
311,ATONY,ATONY,2023-11-29,2023-09-30,0,CNY
5,AAIGF,AAIGF,2023-11-29,2023-09-30,0,USD
322,AUKNY,AUKNY,2023-11-29,2023-09-30,0,NZD
2529,NPHC,NPHC,2023-11-29,2023-09-30,0,USD
3704,VECT,VectivBio Holding AG,2023-11-29,2023-09-30,-0.46,USD
2450,NCTY,The9 Ltd,2023-11-29,2023-09-30,0,CNY
192,ANLDF,ANLDF,2023-11-29,2023-09-30,,CAD
191,ANL,Adlai Nortye Ltd,2023-11-29,2023-09-30,0,USD
3197,SILO,SILO Pharma Inc,2023-11-29,2023-09-30,-0.31,USD
1807,IDKFF,IDKFF,2023-11-29,2023-09-30,0,CAD
90,AGFAF,AGFAF,2023-11-29,2023-09-30,,CAD
788,CLCN,CLCN,2023-11-29,2023-09-30,0,USD
792,CLGN,CollPlant Biotechnologies Ltd New,2023-11-29,2023-09-30,-0.13,USD
3269,SNOW,Snowflake Inc - Class A,2023-11-29,2023-10-31,0.16,USD
2092,LE,Lands` End Inc,2023-11-29,2023-10-31,-0.17,USD
93,AGGHF,AGGHF,2023-11-29,2023-09-30,0,USD
95,AGPYY,AGPYY,2023-11-29,2023-09-30,0,CNY
1787,HYSNY,HYSNY,2023-11-29,2023-09-30,0,HKD
96,AGRPY,AGRPY,2023-11-29,2023-09-30,0,ZAR
3370,STTX,STTX,2023-11-29,2023-09-30,0,USD
1769,HTIA,Healthcare Trust Inc,2023-11-29,2023-09-30,0,USD
2129,LLESY,LLESY,2023-11-29,2023-09-30,0,AUD
3894,XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust,2023-11-29,2023-09-30,0.38,USD
1762,HSNGY,HSNGY,2023-11-29,2023-09-30,0,HKD
1757,HRL,Hormel Foods Corp,2023-11-29,2023-10-31,0.44,USD
783,CKISY,CKISY,2023-11-29,2023-09-30,0,HKD
1816,IFAN,IFAN,2023-11-29,2023-08-31,0,USD
782,CKHUY,CKHUY,2023-11-29,2023-09-30,0,HKD
776,CISO,CISO Global Inc,2023-11-29,2023-09-30,-0.05,USD
1884,IONR,ioneer Ltd,2023-11-29,2023-09-30,0,USD
1878,INTS,Intensity Therapeutics Inc,2023-11-29,2023-09-30,-0.11,USD
740,CGDXF,CGDXF,2023-11-29,2023-09-30,,USD
46,ACON,Aclarion Inc,2023-11-29,2023-09-30,-0.09,USD
1868,INLB,INLB,2023-11-29,2023-09-30,-0.03,USD
1862,INDO,Indonesia Energy Corp Ltd,2023-11-29,2023-09-30,0,USD
3236,SLNA,Selina Hospitality PLC.,2023-11-29,2023-09-30,-0.3,USD
51,ADAG,Adagene Inc,2023-11-29,2023-09-30,-0.38,USD
3865,WSNAF,WSNAF,2023-11-29,2023-10-31,-0.05,USD
1851,IMUN,IMUN,2023-11-29,2023-09-30,0,USD
1845,IMMX,Immix Biopharma Inc,2023-11-29,2023-09-30,-0.23,USD
1844,IMMP,Immutep Ltd,2023-11-29,2023-09-30,0,AUD
761,CHSTY,CHSTY,2023-11-29,2023-09-30,0,CNY
1837,IMAB,I-Mab,2023-11-29,2023-09-30,-0.1279,CNY
725,CEV,Eaton Vance California Municipal Income Trust,2023-11-29,2023-08-31,0,USD
63,ADTX,Aditxt Inc,2023-11-29,2023-09-30,-4,USD
3920,YI,111 Inc,2023-11-29,2023-09-30,,CNY
3366,STSS,Sharps Technology Inc,2023-11-29,2023-09-30,-0.09,USD
3359,STMH,STMH,2023-11-29,2023-09-30,0,USD
1624,GRCU,GRCU,2023-11-29,2023-09-30,0,USD
3851,WOOF,Petco Health and Wellness Co Inc - Class A,2023-11-29,2023-10-31,0.02,USD
1904,IREN,Iris Energy Ltd,2023-11-29,2023-09-30,-0.0064,AUD
172,AMNL,AMNL,2023-11-29,2023-09-30,0,USD
1983,JRJRQ,JRJRQ,2023-11-29,2023-09-30,0,USD
601,BTCWF,BTCWF,2023-11-29,2023-09-30,,CAD
1654,GWAYF,GWAYF,2023-11-29,2023-09-30,,CAD
3131,SCWX,SecureWorks Corp - Class A,2023-11-29,2023-10-31,-0.07,USD
2279,MFCO,MFCO,2023-11-29,2023-09-30,0,USD
